State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,Relative_Obesity,Obesity_Indicator,CI_Min_Obesity,CI_Max_Obesity,CI_Length_Obesity,Relative_CI_Length_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Elderly_Disabled_Medicare_Ratio,Prim_Care_Phys_Rate,Prim_Care_Phys_PCT,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
1,1,Autauga,Alabama,AL,29,27.8,20.7,34.9,78.6,69.4,87.8,24.5,1.014694901,1,17.3,31.7,14.4,1.241057,29.1,19.2,39,26.6,19.1,34,14.2,9.1,19.3,5690,4762,1209,3.93879239,45.3,0.0453,22.6,1,2
1,3,Baldwin,Alabama,AL,16,27.2,23.2,31.2,76.2,71.2,81.3,23.6,0.977420394,0,19.5,27.6,8.1,0.698094563,30.5,24.5,36.6,24.6,20.3,28.8,7.2,5.2,9.3,19798,22635,3839,5.896066684,67,0.067,30.8,1,2
1,5,Barbour,Alabama,AL,51,,,,,,,25.6,1.060252631,1,16.2,35,18.8,1.620268862,,,,17.7,10.2,25.1,6.6,2,11.3,5126,3288,1092,3.010989011,45.8,0.0458,24.6,1,2
1,7,Bibb,Alabama,AL,42,,,,86.6,77.8,95.4,,,,,,,,,,,,,,13.1,4.7,21.5,3315,2390,974,2.453798768,41.8,0.0418,18.6,1,1
1,9,Blount,Alabama,AL,28,33.5,26.3,40.6,74.6,66.1,83,24.2,1.002270065,1,17.2,31.2,14,1.206583195,,,,23.6,16.7,30.4,8.4,4.4,12.4,8131,5019,1300,3.860769231,16.2,0.0162,10.8,2,1
1,11,Bullock,Alabama,AL,75,,,,,,,,,,,,,,,,,,,,,,,2295,1433,504,2.843253968,54.3,0.0543,18.1,1,1
1,13,Butler,Alabama,AL,76,24.5,15.5,33.5,,,,22,0.911154605,0,13,31,18,1.55132125,,,,27.3,17.6,37,9.5,4.4,14.6,4055,3150,952,3.308823529,43.3,0.0433,19.3,1,2
1,15,Calhoun,Alabama,AL,6,29.2,25.1,33.3,81.9,77.2,86.7,27,1.118235197,1,22.8,31.1,8.3,0.715331465,33.2,26.9,39.6,25.5,21.3,29.7,11.2,8.4,13.9,16456,16440,5301,3.101301641,75.8,0.0758,41.9,1,2
1,17,Chambers,Alabama,AL,50,34.7,25.3,44,84.6,75.4,93.7,,,,,,,,,,,11.7,6.2,17.1,17.1,10.2,24.1,5533,5473,1497,3.655978624,53.6,0.0536,22.6,1,2
1,19,Cherokee,Alabama,AL,64,,,,,,,,,,,,,,,,,23.6,14.2,33,13.3,6.8,19.8,3583,3086,854,3.613583138,28.5,0.0285,12.2,2,1
1,21,Chilton,Alabama,AL,32,30.3,23.1,37.5,82.8,75.2,90.4,31.2,1.292182894,1,24,38.4,14.4,1.241057,26.5,17.2,35.8,30,22,38,6,3.2,8.9,6130,4527,1307,3.46365723,31.1,0.0311,19.2,1,2
1,23,Choctaw,Alabama,AL,66,,,,,,,,,,,,,,,,,17.1,8.5,25.8,13.5,6.6,20.3,2677,2148,800,2.685,33.8,0.0338,20.3,1,1
1,25,Clarke,Alabama,AL,51,31.5,22,41.1,,,,,,,,,,,,,,,,,15.8,8.2,23.4,4593,3850,1150,3.347826087,55,0.055,29.3,2,2
1,27,Clay,Alabama,AL,63,,,,,,,,,,,,,,,,,23.9,14.3,33.5,12.2,4.4,20,2320,2198,610,3.603278689,35.8,0.0358,14.3,2,1
1,29,Cleburne,Alabama,AL,41,,,,,,,,,,,,,,,,,,,,10.5,3.6,17.5,2107,1852,646,2.866873065,0,0,6.9,2,1
1,31,Coffee,Alabama,AL,32,23.3,17.2,29.4,,,,25.5,1.056111019,1,18.7,32.3,13.6,1.172109389,31.3,21.7,40.9,23,16.9,29.1,10.3,4.1,16.6,6764,6099,1366,4.464860908,48.3,0.0483,39.5,1,2
1,33,Colbert,Alabama,AL,21,30.2,23.3,37.2,76.9,66.8,86.9,30.1,1.246625164,1,22.2,38,15.8,1.36171532,,,,21.7,15.5,27.9,13.6,8.9,18.3,8141,8226,2302,3.573414422,60.4,0.0604,31.1,1,2
1,35,Conecuh,Alabama,AL,75,,,,,,,,,,,,,,,,,12.3,3.7,20.9,8.2,2.9,13.6,2657,1947,725,2.685517241,60.3,0.0603,7.5,1,1
1,37,Coosa,Alabama,AL,41,,,,,,,,,,,,,,,,,,,,15,6.1,24,2028,1562,621,2.515297907,9,0.009,9,1,1
1,39,Covington,Alabama,AL,35,28.8,21.1,36.6,,,,30.2,1.250766775,1,22.1,38.3,16.2,1.396189125,,,,27.8,19.4,36.1,12.1,6.8,17.5,6094,6401,1583,4.043588124,59.5,0.0595,24.3,1,2
